binary_systems,mp_id
HfW,
HfMo,mp-1224314
HfTa,mp-1224292
HfZr,mp-983459
HfAl,mp-249
HfTi,mp-1224258
HfCr,
HfC,mp-21075
HfSi,mp-1042
HfNb,mp-1224307
HfV,
HfCo,mp-2027
WMo,mp-1221387
WTa,mp-1217811
WZr,
WAl,
WTi,mp-1216621
WCr,mp-1226162
WC,mp-1894
WSi,
WNb,mp-1220316
WV,mp-1216231
WCo,mp-1007819
MoTa,mp-1217895
MoZr,mp-1215206
MoAl,
MoTi,mp-998968
MoCr,mp-1226200
MoC,mp-2305
MoSi,mp-972845
MoNb,mp-1220327
MoV,mp-995205
MoCo,mp-1006884
TaZr,
TaAl,
TaTi,mp-1217887
TaCr,
TaC,mp-1086
TaSi,
TaNb,mp-1217892
TaV,mp-1217812
TaCo,mp-1009826
ZrAl,mp-11233
ZrTi,mp-1215200
ZrCr,
ZrC,mp-2795
ZrSi,mp-893
ZrNb,mp-1215202
ZrV,
ZrCo,mp-2283
AlTi,mp-1953
AlCr,
AlC,mp-1120783
AlSi,mp-1021666
AlNb,
AlV,mp-1228001
AlCo,mp-284
TiCr,mp-1216959
TiC,mp-631
TiSi,mp-7092
TiNb,mp-1216634
TiV,mp-1216646
TiCo,mp-823
CrC,mp-579
CrSi,mp-7576
CrNb,
CrV,mp-1216394
CrCo,mp-1010071
CSi,mp-7140
CNb,mp-910
CV,mp-1282
CCo,
SiNb,
SiV,
SiCo,mp-7577
NbV,mp-1220334
NbCo,mp-1009264
VCo,mp-1002109
