Composition,Density,EquiTibrium conditions,Single/Muplitple_Phase,PhaseType,Reference,Tension0/Compression1,TestTempC,YieldStr(MPa),YieldStr(MPa)/density,Ductility (%),Hardness (HV),HIP,Anneal,CR,SPS,SPD,Grain Size (um),Strain Rate (s-1),Arc Melting,Melt Cooling Rate (degC/min),HIP Temp (degC),HIP Pressure (MPa),HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min),Final CR DeformPercentage,SPS Temp (degC),SPS Pressure (MPa),SPS Hold Time (min),composition,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Yang omega,Yang delta,Yang Ent,Yang Hmix,Yang Tm,Yang Hmax,Yang Tmax,Yang Phi,Yang delXi,Yang HPSigma,Yang HPSigma_min,Yang HPSigma_min05,Yang HPK,Yang VEC,Yang sigma_SS_Liaw,dr H,dr He,dr Li,dr Be,dr B,dr C,dr N,dr O,dr F,dr Ne,dr Na,dr Mg,dr Al,dr Si,dr P,dr S,dr Cl,dr Ar,dr K,dr Ca,dr Sc,dr Ti,dr V,dr Cr,dr Mn,dr Fe,dr Co,dr Ni,dr Cu,dr Zn,dr Ga,dr Ge,dr As,dr Se,dr Br,dr Kr,dr Rb,dr Sr,dr Y,dr Zr,dr Nb,dr Mo,dr Tc,dr Ru,dr Rh,dr Pd,dr Ag,dr Cd,dr In,dr Sn,dr Sb,dr Te,dr I,dr Xe,dr Cs,dr Ba,dr La,dr Ce,dr Pr,dr Nd,dr Pm,dr Sm,dr Eu,dr Gd,dr Tb,dr Dy,dr Ho,dr Er,dr Tm,dr Yb,dr Lu,dr Hf,dr Ta,dr W,dr Re,dr Os,dr Ir,dr Pt,dr Au,dr Hg,dr Tl,dr Pb,dr Bi,dr Po,dr At,dr Rn,dr Fr,dr Ra,dr Ac,dr Th,dr Pa,dr U,dr Np,dr Pu,dr Am,dr Cm,dr Bk,dr Cf,dr Es,dr Fm,dr Md,dr No,dr Lr,dG H,dG He,dG Li,dG Be,dG B,dG C,dG N,dG O,dG F,dG Ne,dG Na,dG Mg,dG Al,dG Si,dG P,dG S,dG Cl,dG Ar,dG K,dG Ca,dG Sc,dG Ti,dG V,dG Cr,dG Mn,dG Fe,dG Co,dG Ni,dG Cu,dG Zn,dG Ga,dG Ge,dG As,dG Se,dG Br,dG Kr,dG Rb,dG Sr,dG Y,dG Zr,dG Nb,dG Mo,dG Tc,dG Ru,dG Rh,dG Pd,dG Ag,dG Cd,dG In,dG Sn,dG Sb,dG Te,dG I,dG Xe,dG Cs,dG Ba,dG La,dG Ce,dG Pr,dG Nd,dG Pm,dG Sm,dG Eu,dG Gd,dG Tb,dG Dy,dG Ho,dG Er,dG Tm,dG Yb,dG Lu,dG Hf,dG Ta,dG W,dG Re,dG Os,dG Ir,dG Pt,dG Au,dG Hg,dG Tl,dG Pb,dG Bi,dG Po,dG At,dG Rn,dG Fr,dG Ra,dG Ac,dG Th,dG Pa,dG U,dG Np,dG Pu,dG Am,dG Cm,dG Bk,dG Cf,dG Es,dG Fm,dG Md,dG No,dG Lr
Al0.25MoNbTiV,7.1,AC,s,BCC,3,1,25,1250,176.9,12.7,460.1,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Al0.25 Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.781040591,0.039048965,0.012707664,-6.256055363,2353.733529,0.110726644,2896,4.277378414,0.140971107,162.9411765,10,91.25,367.6470588,4.882352941,1335.194044,0,0,0,0,0,0,0,0,0,0,0,0,-0.028963579,0,0,0,0,0,0,0,0,-0.052304021,0.06103328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028963579,0.027475214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368337791,0,0,0,0,0,0,0,0,-0.107818348,-0.315191704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286036805,0.616962409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.5MoNbTiV,6.8,AC,S,BCC,3,1,25,1625,238.3,10.51,486.5,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Al0.5 Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.327133512,0.038335032,0.013145213,-8.987654321,2274.83,0.098765432,2896,4.606091202,0.138365479,154.4444444,10,91.25,352.2222222,4.777777778,1230.745928,0,0,0,0,0,0,0,0,0,0,0,0,-0.027354491,0,0,0,0,0,0,0,0,-0.05069582,0.062642543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027354491,0.029085014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34787458,0,0,0,0,0,0,0,0,-0.128868597,-0.335872791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306792607,0.597596705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.75MoNbTiV,6.6,AC,S,BCC,3,1,25,1260,191,6.83,516.6,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Al0.75 Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0,0,0,0,0,0,0,0,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.641607267,0.037643959,0.013332065,-11.12465374,2204.232105,0.088642659,2896,4.803817249,0.135868916,146.8421053,10,91.25,338.4210526,4.684210526,1151.320614,0,0,0,0,0,0,0,0,0,0,0,0,-0.025914781,0,0,0,0,0,0,0,0,-0.049256903,0.064082409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025914781,0.030525361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329565392,0,0,0,0,0,0,0,0,-0.14770303,-0.354376922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325363588,0.580269497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al1.5MoNbTiV,6.1,AC,S,BCC,3,1,25,500,82.5,0.94,556.4,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Al1.5 Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777878623,0.035721358,0.013253902,-15.14049587,2030.946364,0.066115702,2896,5.000597279,0.12900478,128.1818182,10,91.25,304.5454545,4.454545455,988.318997,0,0,0,0,0,0,0,0,0,0,0,0,-0.022380948,0,0,0,0,0,0,0,0,-0.045725016,0.067616626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022380948,0.034060759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284624656,0,0,0,0,0,0,0,0,-0.193933002,-0.399796152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.370946906,0.537739076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMoNbTiV,6.4,AC,s,BCC,3,1,25,1375,214.9,2,536.6,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Al1 Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237839163,0.036977655,0.013380867,-12.8,2140.694,0.08,2896,4.919459822,0.133479189,140,10,91.25,326,4.6,1087.602389,0,0,0,0,0,0,0,0,0,0,0,0,-0.024619042,0,0,0,0,0,0,0,0,-0.047961878,0.065378288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024619042,0.031821674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313087122,0,0,0,0,0,0,0,0,-0.16465402,-0.37103064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.342077471,0.564675009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoNbTiV,7.3,AC,S,BCC,3,1,25,1200,163.4,25.9,440.7,0,0,0,0,0,,0.0005,1,,25,,0,25,0,10,0,,,,Mo1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23687394,0.039781903,0.011525651,-2.75,2442.5,0.125,2896,3.648520252,0.14368556,172.5,50,131.6666667,385,5,1484.387393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054113247,0.059222861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030773803,0.025664189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084136818,-0.291925481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262686527,0.638748825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.25NbTaTiV,8.8,AC,s,BCC,4,1,25,1330,151.2,48.28,,0,0,0,0,0,,0.0002,1,,25,,0,25,0,10,0,,,,Al0.25 Nb1 Ta1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.454443334,0.036852082,0.012707664,-4.816608997,2446.439412,0.110726644,3290,3.743794233,0.031959338,118.2352941,10,67.5,398.2352941,7.941176471,1240.557152,0,0,0,0,0,0,0,0,0,0,0,0,-0.015680847,0,0,0,0,0,0,0,0,-0.039026178,0.074308083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015680847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015680847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63276489,0,0,0,0,0,0,0,0,0.159914215,-0.053477895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023208454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24141909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.5NbTaTiV,8.5,AC,S,BCC,4,1,25,1012,119.6,47.18,,0,0,0,0,0,,0.0002,1,,25,,0,25,0,10,0,,,,Al0.5 Nb1 Ta1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699086839,0.035917269,0.013145213,-8.395061728,2362.385556,0.098765432,3290,4.118458637,0.031557758,112.2222222,10,67.5,381.1111111,7.666666667,1157.931414,0,0,0,0,0,0,0,0,0,0,0,0,-0.014809689,0,0,0,0,0,0,0,0,-0.038155635,0.075179856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014809689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014809689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597611285,0,0,0,0,0,0,0,0,0.123989935,-0.088698638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058565831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275531109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNbTaTiV,7.9,AC,s,BCC,4,1,25,991,125.6,48.88,,0,0,0,0,0,,0.0002,1,,25,,0,25,0,10,0,,,,Al1 Nb1 Ta1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209728689,0.034239656,0.013380867,-13.44,2219.494,0.08,3290,4.512493571,0.030720098,102,10,67.5,352,7.2,1061.889489,0,0,0,0,0,0,0,0,0,0,0,0,-0.01332872,0,0,0,0,0,0,0,0,-0.036675711,0.076661871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01332872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01332872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537850157,0,0,0,0,0,0,0,0,0.062918659,-0.148573902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118673373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333521541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NbTaTiV,9.2,AC,s,BCC,4,1,25,1092,119.1,49.83,,0,0,0,0,0,,0.0002,1,,25,,0,25,0,10,0,,,,Nb1 Ta1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.14672,0.03786198,0.011525651,-0.25,2541,0.125,3290,3.075184465,0.032333549,125,50,100,417.5,8.25,1378.874927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040005539,0.073327338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200329031,-0.013854558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016568596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203043068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
