Composition,Density,EquiTibrium conditions,Single/Muplitple_Phase,PhaseType,Reference,Tension0/Compression1,TestTempC,YieldStr(MPa),YieldStr(MPa)/density,Ductility (%),Hardness (HV)
Al0.25MoNbTiV,7.1,AC,s,BCC,3,1,25,1250,176.9,12.7,460.1
Al0.5MoNbTiV,6.8,AC,S,BCC,3,1,25,1625,238.3,10.51,486.5
Al0.75MoNbTiV,6.6,AC,S,BCC,3,1,25,1260,191,6.83,516.6
Al1.5MoNbTiV,6.1,AC,S,BCC,3,1,25,500,82.5,0.94,556.4
AlMoNbTiV,6.4,AC,s,BCC,3,1,25,1375,214.9,2,536.6
MoNbTiV,7.3,AC,S,BCC,3,1,25,1200,163.4,25.9,440.7
Al0.25NbTaTiV,8.8,AC,s,BCC,4,1,25,1330,151.2,48.28,
Al0.5NbTaTiV,8.5,AC,S,BCC,4,1,25,1012,119.6,47.18,
AlNbTaTiV,7.9,AC,s,BCC,4,1,25,991,125.6,48.88,
NbTaTiV,9.2,AC,s,BCC,4,1,25,1092,119.1,49.83,
Al0.25NbTaTiZr,8.6,HIP+A,M,BCC+B2,5,1,25,1745,203.1,2.3,499.6
Al0.25NbTaTiZr,8.6,HIP+A,M,BCC+B2,5,1,1000,366,42.6,51.72,
Al0.5Mo0.5NbTa0.5TiZr,7.6,HIP+A,M,BCC+B2,5,1,25,2350,309.7,1.35,652.6
Al0.5Mo0.5NbTa0.5TiZr,7.6,HIP+A,M,BCC+B2,5,1,1000,579,76.3,50.48,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,5,1,25,2197,307.4,2.22,591.4
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,5,1,1000,745,104.2,48.86,
AlMo0.5NbTa0.5TiZr0.5,7.2,HIP+A,s,B2,5,1,25,1320,,0,632.2
AlMo0.5NbTa0.5TiZr0.5,7.2,HIP+A,s,B2,5,1,1000,935,129.1,47.84,
AlNbTa0.5TiZr0.5,6.9,HIP+A,s,B2,5,1,25,1352,195.3,0.17,509.8
AlNbTa0.5TiZr0.5,6.9,HIP+A,s,B2,5,1,1000,535,77.3,49.15,
Al0.2MoTaTiV,9.3,AC,s,BCC,6,1,25,1021,110.3,6.82,450
Al0.6MoTaTiV,8.7,AC,S,BCC,6,1,25,962,110.9,3.36,483.3
AlMoTaTiV,8.2,AC,s,BCC,6,1,25,735,,0,509.5
MoTaTiV,9.6,AC,s,BCC,6,1,25,1221,127.4,11.13,433.2
Al0.3HfNbTaTiZr,9.6,AC,s,BCC,7,1,25,1188,124.4,48.23,353
Al0.5HfNbTaTiZr,9.3,AC,S,BCC,7,1,25,1302,139.4,47.98,392
Al0.75HfNbTaTiZr,9.1,AC,S,BCC,7,1,25,1415,155.6,28.61,425
AlHfNbTaTiZr,8.9,AC,M,2 BCC,7,1,25,1489,168,20.17,435
HfNbTaTiZr,9.9,AC,s,BCC,7,1,25,1073,108.4,48.08,293
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.7,HIP+A,s,BCC,8,1,25,1965,255,1.58,499.6
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.7,HIP+A,s,BCC,8,1,1000,166,21.5,48.75,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.7,HIP+A,s,BCC,8,1,800,678,88,41.83,
Al0.3NbTaTi1.4Zr1.3,8.1,HIP+A,M,BCC+B2,8,1,25,1965,242.9,0.55,488.4
Al0.3NbTaTi1.4Zr1.3,8.1,HIP+A,M,BCC+B2,8,1,1000,236,29.2,48.89,
Al0.3NbTaTi1.4Zr1.3,8.1,HIP+A,M,BCC+B2,8,1,800,362,44.7,46.91,
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,s,BCC,8,1,25,1841,202.5,6.86,499.6
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,s,BCC,8,1,1000,298,32.8,48.29,
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,s,BCC,8,1,800,796,87.6,42.58,
Al0.5NbTa0.5Ti1.5V0.2Zr,7.6,HIP+A,M,BCC+B2,8,1,25,2035,269.2,1.51,530.2
Al0.5NbTa0.8Ti1.5V0.2Zr,7.6,HIP+A,M,BCC+B2,8,1,1000,220,29.1,48.56,
Al0.5NbTa0.8Ti1.5V0.2Zr,7.6,HIP+A,M,BCC+B2,8,1,800,796,105.3,43.92,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,8,1,25,2000,279.8,8.67,591.4
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,8,1,1000,745,104.2,43.3,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,8,1,800,1597,223.4,9.13,
AlNb1.5Ta0.5Ti1.5Zr0.5,6.8,HIP+A,s,BCC,8,1,25,1280,186.9,2.62,407.9
AlNb1.5Ta0.5Ti1.5Zr0.5,6.8,HIP+A,s,BCC,8,1,1000,403,58.8,48.51,
AlNb1.5Ta0.5Ti1.5Zr0.5,6.8,HIP+A,s,BCC,8,1,800,728,106.3,37.56,
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,s,BCC,9,1,25,1841,202.5,7.69,499.6
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,s,BCC,9,1,1200,89,9.8,48.69,
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,S,BCC,9,1,1000,298,32.8,51.29,
Al0.4Hf0.6NbTaTiZr,9.1,HIP+A,S,BCC,9,1,800,796,87.6,42.66,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,9,1,25,2000,279.8,8.69,591.4
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,9,1,1200,250,35,47.62,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,9,1,1000,745,104.2,42.89,
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,9,1,800,1597,223.4,10.5,
Al0.5CrNbTi2V0.5,5.8,A,M,BCC+Laves,10,1,25,1340,232.4,17.84,
Al0.5CrNbTi2V0.5,5.8,AC,S,BCC,10,1,25,1240,215,,
Al0.5CrNbTi2V0.5,5.8,A,M,BCC+Laves,10,1,1000,90,15.6,,
Al0.5CrNbTi2V0.5,5.8,A,M,BCC+Laves,10,1,800,445,77.2,,
Al0.5CrNbTi2V0.5,5.8,A,M,BCC+Laves,10,1,600,930,161.3,,
AlCr0.5NbTiV,5.6,A,S,BCC,11,1,25,1300,230.6,1.22,
